year,line,text,titulo,cap,art,tema
2014,1,TEXTO DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA CON SUS REFORMAS INCORPORADAS,PREÁMBULO,NA,NA,PREÁMBULO
2014,2,"CONSTITUCIÓN POLÍTICA DE NICARAGUA, aprobada el 10 de febrero del 2014",PREÁMBULO,NA,NA,PREÁMBULO
2014,3,"Publicada en La Gaceta, Diario Oficial N°. 32 de 18 de febrero de 2014",PREÁMBULO,NA,NA,PREÁMBULO
2014,4,“El Presidente de la República,PREÁMBULO,NA,NA,PREÁMBULO
2014,5,"Hace saber al pueblo de Nicaragua que la Asamblea Nacional Constituyente ha consultado con el pueblo, discutido y aprobado la siguiente,",PREÁMBULO,NA,NA,PREÁMBULO
2014,6,CONSTITUCIÓN POLÍTICA:,PREÁMBULO,NA,NA,PREÁMBULO
2014,7,Preámbulo,PREÁMBULO,NA,NA,PREÁMBULO
2014,8,"NOSOTROS,",PREÁMBULO,NA,NA,PREÁMBULO
2014,9,"Representantes del Pueblo de Nicaragua, reunidos en Asamblea Nacional Constituyente.",PREÁMBULO,NA,NA,PREÁMBULO
2014,10,Evocando,PREÁMBULO,NA,NA,PREÁMBULO
2014,11,La lucha de nuestros antepasados indígenas.,PREÁMBULO,NA,NA,PREÁMBULO
2014,12,"El espíritu de unidad centroamericana y la tradición combativa de nuestro Pueblo que, inspirado en el ejemplo del General JOSÉ DOLORES ESTRADA, ANDRÉS CASTRO Y ENMANUEL MONGALO, derrotó al dominio filibustero y la intervención norteamericana en la Guerra Nacional.",PREÁMBULO,NA,NA,PREÁMBULO
2014,13,"Al Prócer de la Independencia Cultural de la Nación, Poeta Universal RUBÉN DARÍO.",PREÁMBULO,NA,NA,PREÁMBULO
2014,14,La gesta antintervencionista de BENJAMÍN ZELEDÓN.,PREÁMBULO,NA,NA,PREÁMBULO
2014,15,"Al General de Hombres Libres, AUGUSTO C. SANDINO, Padre de la Revolución Popular y Antimperialista.",PREÁMBULO,NA,NA,PREÁMBULO
2014,16,"La acción heroica de RIGOBERTO LÓPEZ PÉREZ, iniciador del principio del fin de la dictadura.",PREÁMBULO,NA,NA,PREÁMBULO
2014,17,"El ejemplo de CARLOS FONSECA, el más alto continuador de la herencia de Sandino, fundador del Frente Sandinista de Liberación Nacional y Jefe de la Revolución.",PREÁMBULO,NA,NA,PREÁMBULO
2014,18,"Al Mártir de la Libertades Públicas, Doctor PEDRO JOAQUÍN CHAMORRO CARDENAL.",PREÁMBULO,NA,NA,PREÁMBULO
2014,19,"Al Cardenal de la Paz y la Reconciliación, Cardenal MIGUEL OBANDO Y BRAVO.",PREÁMBULO,NA,NA,PREÁMBULO
2014,20,A todas las generaciones de Héroes y Mártires que forjaron y desarrollaron la lucha de liberación por la independencia nacional.,PREÁMBULO,NA,NA,PREÁMBULO
2014,21,En Nombre,PREÁMBULO,NA,NA,PREÁMBULO
2014,22,"Del pueblo nicaragüense; de todos los partidos y organizaciones democráticas, patrióticas y revolucionarias de Nicaragua; de sus hombres y mujeres; de sus obreros y campesinos; de su gloriosa juventud; de sus heroicas madres; de los cristianos que desde su fe en DIOS se han comprometido e insertado en la lucha por la liberación de los oprimidos; de sus intelectuales patrióticos; y de todos los que con su trabajo productivo contribuyen a la defensa de la Patria.",PREÁMBULO,NA,NA,PREÁMBULO
2014,23,De los que luchan y ofrendan sus vidas frente a la agresión imperialista para garantizar la felicidad de las nuevas generaciones.,PREÁMBULO,NA,NA,PREÁMBULO
2014,24,Por,PREÁMBULO,NA,NA,PREÁMBULO
2014,25,"La institucionalización de las conquistas de la Revolución y la construcción de una nueva sociedad que elimine toda clase de explotación y logre la igualdad económica, política y social de los nicaragüenses y el respeto absoluto de los derechos humanos.",PREÁMBULO,NA,NA,PREÁMBULO
2014,26,"POR LA PATRIA, POR LA REVOLUCIÓN, POR LA UNIDAD DE LA NACIÓN Y POR LA PAZ",PREÁMBULO,NA,NA,PREÁMBULO
2014,27,Promulgamos la siguiente,PREÁMBULO,NA,NA,PREÁMBULO
2014,28,CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA,PREÁMBULO,NA,NA,PREÁMBULO
2014,29,TÍTULO I,TÍTULO I,NA,NA,PRINCIPIOS FUNDAMENTALES
2014,30,PRINCIPIOS FUNDAMENTALES,TÍTULO I,NA,NA,PRINCIPIOS FUNDAMENTALES
2014,31,CAPÍTULO ÚNICO,TÍTULO I,CAPÍTULO ÚNICO,NA,PRINCIPIOS FUNDAMENTALES
